year,species,origin,cult_star,no_parents,endpoint,factor,tank,tank_rep,assess_date,larval_age,rep,vol_sampl,vol_conc,vol_subsampl,L_counted,L_total_sampl,density,L_tank_total,comments,use_in_model,reason_for_exclusion
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,M,MN_08,2,13/12/2022,1,2,500,30,3,14,140,0.28,23800,"Larvae already swimming! Weird, broken and dead larvae observed.",Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,M,MN_08,2,13/12/2022,1,3,500,30,3,10,100,0.2,17000,"Larvae already swimming! Weird, broken and dead larvae observed.",Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,M,MN_08,2,13/12/2022,1,4,500,30,3,13,130,0.26,22100,"Larvae already swimming! Weird, broken and dead larvae observed.",Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,M,MN_08,2,13/12/2022,1,5,500,30,3,16,160,0.32,27200,"Larvae already swimming! Weird, broken and dead larvae observed.",Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,M,MN_08,2,13/12/2022,1,6,500,30,3,17,170,0.34,28900,"Larvae already swimming! Weird, broken and dead larvae observed.",Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,M,MN_08,2,14/12/2022,2,1,500,40,3,15,200,0.4,34000,,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,M,MN_08,2,14/12/2022,2,2,500,40,3,13,173,0.35,29467,,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,M,MN_08,2,14/12/2022,2,3,500,40,3,18,240,0.48,40800,,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,M,MN_08,2,14/12/2022,2,4,500,40,3,21,280,0.56,47600,,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,M,MN_08,2,14/12/2022,2,5,500,40,3,13,173,0.35,29467,,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,M,MN_08,2,14/12/2022,2,6,500,40,3,12,160,0.32,27200,,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,M,MN_08,2,15/12/2022,3,1,500,30,3,21,210,0.42,35700,,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,M,MN_08,2,15/12/2022,3,2,500,30,3,23,230,0.46,39100,,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,M,MN_08,2,15/12/2022,3,3,500,30,3,23,230,0.46,39100,,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,M,MN_08,2,15/12/2022,3,4,500,30,3,24,240,0.48,40800,,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,M,MN_08,2,15/12/2022,3,5,500,30,3,22,220,0.44,37400,,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,M,MN_08,2,15/12/2022,3,6,500,30,3,23,230,0.46,39100,,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,M,MN_08,2,16/12/2022,4,1,500,30,3,33,330,0.66,56100,,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,M,MN_08,2,16/12/2022,4,2,500,30,3,29,290,0.58,49300,,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,M,MN_08,2,16/12/2022,4,3,500,30,3,20,200,0.4,34000,,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,M,MN_08,2,16/12/2022,4,4,500,30,3,18,180,0.36,30600,,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,M,MN_08,2,16/12/2022,4,5,500,30,3,17,170,0.34,28900,,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,M,MN_08,2,16/12/2022,4,6,500,30,3,13,130,0.26,22100,,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,M,MN_08,2,17/12/2022,5,1,500,30,3,21,210,0.42,35700,,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,M,MN_08,2,17/12/2022,5,2,500,30,3,17,170,0.34,28900,,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,M,MN_08,2,17/12/2022,5,3,500,30,3,10,100,0.2,17000,,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,M,MN_08,2,17/12/2022,5,4,500,30,3,26,260,0.52,44200,,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,M,MN_08,2,17/12/2022,5,5,500,30,3,21,210,0.42,35700,,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,M,MN_08,2,17/12/2022,5,6,500,30,3,15,150,0.3,25500,,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,AS,MN_07,1,13/12/2022,1,1,500,50,3,7,117,0.23,19833,Lots of weird/broken larvae. Already swimming!,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,AS,MN_07,1,13/12/2022,1,2,500,50,3,6,100,0.2,17000,Lots of weird/broken larvae. Already swimming!,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,AS,MN_07,1,13/12/2022,1,3,500,50,3,12,200,0.4,34000,Lots of weird/broken larvae. Already swimming!,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,AS,MN_07,1,13/12/2022,1,4,500,50,3,9,150,0.3,25500,Lots of weird/broken larvae. Already swimming!,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,AS,MN_07,1,13/12/2022,1,5,500,50,3,14,233,0.47,39667,Lots of weird/broken larvae. Already swimming!,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,AS,MN_07,1,13/12/2022,1,6,500,50,3,9,150,0.3,25500,Lots of weird/broken larvae. Already swimming!,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,AS,MN_07,1,14/12/2022,2,1,500,30,3,17,170,0.34,28900,Some chimaeras/clusters.,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,AS,MN_07,1,14/12/2022,2,2,500,30,3,13,130,0.26,22100,Some chimaeras/clusters.,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,AS,MN_07,1,14/12/2022,2,3,500,30,3,20,200,0.4,34000,Some chimaeras/clusters.,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,AS,MN_07,1,14/12/2022,2,4,500,30,3,26,260,0.52,44200,Some chimaeras/clusters.,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,AS,MN_07,1,14/12/2022,2,5,500,30,3,15,150,0.3,25500,Some chimaeras/clusters.,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,AS,MN_07,1,14/12/2022,2,6,500,30,3,19,190,0.38,32300,Some chimaeras/clusters.,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,AS,MN_07,1,15/12/2022,3,1,500,30,3,24,240,0.48,40800,,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,AS,MN_07,1,15/12/2022,3,2,500,30,3,23,230,0.46,39100,,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,AS,MN_07,1,15/12/2022,3,3,500,30,3,29,290,0.58,49300,"Chimaeras, individual larvae in chimaera counted where possible.",No,Attempted to count individual larvae in chimaeras.
